Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm),Notes
2018-11-11 14:05:12,Running,10.44,1900-01-01 00:58:40,1900-01-01 00:05:37,10.68,130,159,missing
2018-11-09 15:02:35,Running,12.84,1900-01-01 01:14:12,1900-01-01 00:05:47,10.39,168,159,missing
2018-11-04 16:05:00,Running,13.01,1900-01-01 01:15:16,1900-01-01 00:05:47,10.37,171,155,missing
2018-11-01 14:03:58,Running,12.98,1900-01-01 01:14:25,1900-01-01 00:05:44,10.47,169,158,missing
2018-10-27 17:01:36,Running,13.02,1900-01-01 01:12:50,1900-01-01 00:05:36,10.73,170,154,missing
2018-10-19 17:52:32,Running,10.29,1900-01-01 00:59:18,1900-01-01 00:05:46,10.41,133,155,missing
2018-10-14 17:28:56,Running,12.93,1900-01-01 01:10:16,1900-01-01 00:05:26,11.04,159,158,missing
2018-10-12 17:41:58,Running,12.31,1900-01-01 01:09:26,1900-01-01 00:05:38,10.64,134,157,missing
2018-10-06 16:45:02,Cycling,19.63,1900-01-01 01:26:26,1900-01-01 00:04:24,13.63,210,79,missing
2018-09-30 16:52:34,Running,12.97,1900-01-01 01:13:56,1900-01-01 00:05:42,10.52,171,156,missing
2018-09-16 14:55:03,Cycling,32.61,1900-01-01 01:55:15,1900-01-01 00:03:32,16.98,462,118,missing
2018-09-02 17:24:28,Other,17.65,1900-01-01 01:01:28,1900-01-01 00:03:29,17.23,219,77,missing
2018-09-01 17:06:15,Cycling,36.89,1900-01-01 01:58:39,1900-01-01 00:03:13,18.65,491,122,missing
2018-08-28 18:44:33,Cycling,28.17,1900-01-01 01:27:07,1900-01-01 00:03:06,19.4,400,111,missing
2018-08-25 17:18:32,Cycling,19.41,1900-01-01 01:11:33,1900-01-01 00:03:41,16.28,199,124,missing
2018-08-22 18:25:22,Running,4.38,1900-01-01 00:33:55,1900-01-01 00:07:45,7.75,60,138,missing
2018-08-12 17:37:17,Running,22.09,1900-01-01 02:13:22,1900-01-01 00:06:02,9.94,342,148,missing
